Result Set (589 items)•••
TABLE_NAME	COLUMN_NAME	DATA_TYPE	ORDINAL_POSITIONΞΞ	CHARACTER_MAXIMUM_LENGTHΞΞ	IS_NULLABLE
AutoStepDependency	AutoStepDependencyIdentifier	uniqueidentifier	1	null	NO
AutoStepDependency	ControllerIdentifier	uniqueidentifier	2	null	NO
AutoStepDependency	BaseVariableIdentifier	uniqueidentifier	3	null	NO
AutoStepDependency	DependentVariableIdentifier	uniqueidentifier	4	null	NO
AutoStepDependency	ReferenceVariableIdentifier	uniqueidentifier	5	null	NO
AutoStepDependency	DependencyType	nvarchar	6	255	YES
BlcModel	BlcModelIdentifier	uniqueidentifier	1	null	NO
BlcModel	RelationIdentifier	uniqueidentifier	2	null	NO
BlcModel	LoopIdentifier	uniqueidentifier	3	null	NO
BlcModel	ItemSequenceIdentifier	uniqueidentifier	4	null	NO
BlcModel	Representation	nvarchar	5	50	YES
BlcModel	IntendedMV	nvarchar	6	50	YES
BlcModel	IntendedModelLoopType	nvarchar	7	50	YES
BlcModel	Status	nvarchar	8	50	YES
BlcModel	BlcModelBlockId	uniqueidentifier	9	null	YES
Blocks	BlockIdentifier	uniqueidentifier	1	null	NO
Blocks	Name	nvarchar	2	32	NO
Blocks	Description	nvarchar	3	256	YES
Blocks	UseSameHorizonAsModel	bit	4	null	NO
Blocks	ModelHorizonInSeconds	int	5	null	NO
Blocks	PlotIntervalInSeconds	int	6	null	NO
Blocks	LargestSettlingTimeInSeconds	int	7	null	NO
Blocks	SmallestSettlingTimeInSeconds	int	8	null	NO
Blocks	ResponsePlotType	smallint	9	null	NO
Blocks	ResponsePlotScalingType	smallint	10	null	NO
Blocks	ResponsePlotElementsType	smallint	11	null	NO
Blocks	FormulaString	nvarchar	12	4000	YES
Blocks	IsFormulaValid	bit	13	null	YES
Blocks	GainUpdateMethod	smallint	14	null	NO
Blocks	GainUpdateToleranceMin	float	15	null	NO
Blocks	GainUpdateTolerancePercent	float	16	null	NO
BlockVariableReferences	BlockId	uniqueidentifier	1	null	NO
BlockVariableReferences	ProcessVariableId	uniqueidentifier	2	null	NO
BlockVariableReferences	ParentObjId	uniqueidentifier	3	null	NO
BlockVariableReferences	ReferenceType	nvarchar	4	32	NO
BlockVariableReferences	SortOrder	int	5	null	NO
ChartCell	ChartIdentifier	uniqueidentifier	1	null	NO
ChartCell	ChartCellIdentifier	uniqueidentifier	2	null	NO
ChartCell	RowIndex	int	3	null	YES
ChartCell	ColumnIndex	int	4	null	YES
Charts	ChartIdentifier	uniqueidentifier	1	null	NO
Charts	VariablesPerPlot	int	2	null	YES
Charts	ViewRows	int	3	null	YES
Charts	ViewColumns	int	4	null	YES
Charts	FixedRows	bit	5	null	NO
Charts	FixedColumns	bit	6	null	NO
Charts	RowCounts	int	7	null	YES
Charts	ColumnCounts	int	8	null	YES
Charts	FitIdentifier	uniqueidentifier	9	null	YES
CodeBlock	ParentIdentifier	uniqueidentifier	1	null	NO
CodeBlock	CodeBlockId	uniqueidentifier	2	null	NO
CodeBlock	ItemSequenceIdentifier	uniqueidentifier	3	null	NO
CodeBlock	State	smallint	4	null	NO
CodeBlockSource	CodeBlockId	uniqueidentifier	1	null	NO
CodeBlockSource	Source	ntext	2	536870911	YES
CodeBlockSource	IsCS	bit	3	null	YES
Controllers	ControllerIdentifier	uniqueidentifier	1	null	NO
Controllers	CustomInputIoItemsSequenceCollectionId	uniqueidentifier	2	null	NO
Controllers	CustomOutputIoItemsSequenceCollectionId	uniqueidentifier	3	null	NO
Controllers	ShedLogicRuleItemsSequenceCollectionId	uniqueidentifier	4	null	NO
Controllers	SubsystemSequenceCollectionID	uniqueidentifier	5	null	NO
Controllers	EconomicFunctionSequenceCollectionID	uniqueidentifier	6	null	NO
Controllers	IsAutoNumberConstraints	bit	7	null	NO
Controllers	IsAutoSortConstraints	bit	8	null	NO
Controllers	IsAutoTestEnabled	bit	9	null	NO
Controllers	AllowSubSystems	bit	10	null	NO
ControllerSubSystem	SubSystemIdentifier	uniqueidentifier	1	null	NO
ControllerSubSystem	ControllerIdentifier	uniqueidentifier	2	null	NO
ControllerSubSystem	ItemSequenceIdentifier	uniqueidentifier	3	null	NO
ControllerSubSystem	IsDefault	bit	4	null	NO
ControllerSubSystem	ExecutionMultiple	int	5	null	NO
ControllerSubSystem	ExecutionOffset	int	6	null	NO
ControllerSubSystem	OrderNumber	int	7	null	NO
ControllerSubSystemVariableReferences	ControllerIdentifier	uniqueidentifier	1	null	NO
ControllerSubSystemVariableReferences	SubSystemIdentifier	uniqueidentifier	2	null	NO
ControllerSubSystemVariableReferences	ProcessVariableIdentifier	uniqueidentifier	3	null	NO
ControllerSubSystemVariableReferences	ReferenceType	nvarchar	4	32	NO
ControllerVariableReference	ControllerVariableReferenceIdentifier	uniqueidentifier	1	null	NO
ControllerVariableReference	ParentIdentifier	uniqueidentifier	2	null	NO
ControllerVariableReference	ProcessVariableId	uniqueidentifier	3	null	NO
ControllerVariableReference	ReferenceType	nvarchar	4	32	NO
ControllerVariableReference	MV	bit	5	null	NO
